word	freq	tag	base	lemma
kérdé	66	3sg.ipf.def	kérdé	kérd
felmene	65	3sg.ipf.indef	mene	men
meghala	56	3sg.ipf.indef	hala	hal
követé	55	3sg.ipf.def	követé	követ
vivé	55	3sg.ipf.def	vivé	viv
hívá	54	3sg.ipf.def	hívá	hív
megáldá	53	3sg.ipf.def	áldá	áld
megszegé	51	3sg.ipf.def	szegé	szeg
megálla	51	3sg.ipf.indef	álla	áll
találá	51	3sg.ipf.def	találá	talál
szülé	50	3sg.ipf.def	szülé	szül
parancsolá	49	3sg.ipf.def	parancsolá	parancsol
marada	47	3sg.ipf.indef	marada	marad
támada	47	3sg.ipf.indef	támada	támad
meggyógyítá	46	3sg.ipf.def	gyógyítá	gyógyít
megfeddé	44	3sg.ipf.def	feddé	fedd
kéré	43	3sg.ipf.def	kéré	kér
tevé	43	3sg.ipf.def	tevé	tev
elhagyá	42	3sg.ipf.def	hagyá	hagy
bocsátá	41	3sg.ipf.def	bocsátá	bocsát
megtagadá	41	3sg.ipf.def	tagadá	tagad
talála	40	3sg.ipf.indef	talála	talál
elbocsáta	39	3sg.ipf.indef	bocsáta	bocsát
járula	39	3sg.ipf.indef	járula	járul
vete	39	3sg.ipf.indef	vete	vet
akara	38	3sg.ipf.indef	akara	akar
elküldé	37	3sg.ipf.def	küldé	küld
küldé	32	3sg.ipf.def	küldé	küld
veté	32	3sg.ipf.def	veté	vet
elméne	31	3sg.ipf.indef	méne	mén
hallá	31	3sg.ipf.def	hallá	hall
kiálta	31	3sg.ipf.indef	álta	ált
megmondá	31	3sg.ipf.def	mondá	mond
hagyá	29	3sg.ipf.def	hagyá	hagy
megtére	29	3sg.ipf.indef	tére	tér
akará	28	3sg.ipf.def	akará	akar
juta	27	3sg.ipf.indef	juta	jut
tanítana	27	3sg.ipf.indef	tanítana	tanítan
üle	27	3sg.ipf.indef	üle	ül
bocsáta	26	3sg.ipf.indef	bocsáta	bocsát
előjöve	26	3sg.ipf.indef	őjöve	őjöv
meghallá	26	3sg.ipf.def	hallá	hall
felemelé	25	3sg.ipf.def	emelé	emel
leszálla	25	3sg.ipf.indef	leszálla	leszáll
megengedé	25	3sg.ipf.def	engedé	enged
ereszté	24	3sg.ipf.def	ereszté	ereszt
felkiálta	24	3sg.ipf.indef	kiálta	kiált
fogadá	24	3sg.ipf.def	fogadá	fogad
imádá	24	3sg.ipf.def	imádá	imád
kiméne	24	3sg.ipf.indef	méne	mén
leüle	24	3sg.ipf.indef	leüle	leül
meggyógyula	24	3sg.ipf.indef	gyógyula	gyógyul
elvágá	23	3sg.ipf.def	vágá	vág
meghagyá	23	3sg.ipf.def	hagyá	hagy
külde	21	3sg.ipf.indef	külde	küld
hagya	20	3sg.ipf.indef	hagya	hagy
kijöve	20	3sg.ipf.indef	jöve	jöv
megmutatá	20	3sg.ipf.def	mutatá	mutat
megparancsolá	20	3sg.ipf.def	parancsolá	parancsol
szálla	19	3sg.ipf.indef	szálla	száll
elkülde	18	3sg.ipf.indef	külde	küld
fogá	18	3sg.ipf.def	fogá	fog
helyhezteté	18	3sg.ipf.def	helyhezteté	helyheztet
kinyújtá	18	3sg.ipf.def	nyújtá	nyújt
megkéré	18	3sg.ipf.def	kéré	kér
gyűle	17	3sg.ipf.indef	gyűle	gyűl
leborula	17	3sg.ipf.indef	leborula	leborul
megismeré	17	3sg.ipf.def	ismeré	ismer
szólá	17	3sg.ipf.def	szólá	szól
elrejté	16	3sg.ipf.def	rejté	rejt
előhívá	16	3sg.ipf.def	őhívá	őhív
felvevé	16	3sg.ipf.def	vevé	vev
könyörüle	16	3sg.ipf.indef	könyörüle	könyörül
megjelenté	16	3sg.ipf.def	jelenté	jelent
neveze	16	3sg.ipf.indef	neveze	nevez
szerze	16	3sg.ipf.indef	szerze	szerz
síra	16	3sg.ipf.indef	síra	sír
elveszté	15	3sg.ipf.def	veszté	veszt
engedé	15	3sg.ipf.def	engedé	enged
futa	15	3sg.ipf.indef	futa	fut
féle	15	3sg.ipf.indef	féle	fél
hoza	15	3sg.ipf.indef	hoza	hoz
kibocsátá	15	3sg.ipf.def	bocsátá	bocsát
